text	normalized	phones	ipa	style	source	status	reviewer	notes_or_phones_google
tyson	tyson	tx aaj . s ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=tt aaj . s ax n
u	u	y u		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u
udaan	udaan	u . dx aa n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . dd aa n
uday	uday	u . d ax . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . d ax . y ax
ulcer	ulcer	ax l . s ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax l . s ax r
uma	uma	u . m aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . m aa
umananda	umananda	u . m aa . n ax n . dx ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . m aa . n ax n . dd ax
umbreon	umbreon	ax m . b r i . y ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax m . b r i . y ax n
umesh	umesh	u . m e s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . m e s
uncle	uncle	ax ng . k ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax ng . k ax l
understanding	understanding	ax n . dx ax r . s tx y aa n . dx i ng		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . dd ax r . s tt y aa n . dd i ng
undertaker	undertaker	ax n . dx ax r . tx e . k ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . dd ax r . tt e . k ax r
underwater	underwater	ax n . dx ax r . w aa . tx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . dd ax r . w aa . tt ax r
underworld	underworld	ax n . dx ax r . w ax r l dx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . dd ax r . w ax r l dd
union	union	y u . n i . y ax n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . n i . y ax n
unique	unique	u . n i k		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . n i k
unit	unit	y u . n i tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . n i tt
unitedhealth	unitedhealth	y u . n aaj . tx e dx . h e l th		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . n aaj . tt e dd . h e l th
univac	univac	u . n i . bh aa k		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . n i . bh aa k
universal	universal	y u . n i . bh ax r . s ax l		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . n i . bh ax r . s ax l
universe	universe	y u . n i . bh ax r s		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . n i . bh ax r s
unknown	unknown	ax n . n o n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . n o n
unlocking	unlocking	ax n . l ax . k i ng		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . l ax . k i ng
unplugged	unplugged	ax n . p l ax g dx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax n . p l ax g dd
unum	unum	y u . n ax m		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=y u . n ax m
unveiled	unveiled	u n . bh e l dx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u n . bh e l dd
upadhyay	upadhyay	u . p aa d . dh y aa . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . p aa d . dh y aa . y ax
upadhyaya	upadhyaya	u . p aa dh . dh y aa . y ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . p aa dh . dh y aa . y ax
upasana	upasana	u . p aa . s ax . n aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . p aa . s ax . n aa
upazila	upazila	u . p aa . dz i . l aa		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . p aa . jh i . l aa
update	update	ax p . dx e tx		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax p . dd e tt
updater	updater	ax p . dx e . tx ax r		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax p . dd e . tt ax r
updown	updown	ax p . dx aaw n		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax p . dd aaw n
upendra	upendra	u . p e n . d r ax		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=u . p e n . d r ax
uplink	uplink	ax p . l i ng k		spoken_nepali	google_ne_lr_2018	candidate_latin		google_phones=ax p . l i ng k
